Abs	Wavelength
19.994	200
19.994	205
19.994	210
19.994	215
19.994	220
2.926	225
2.551	230
2.253	235
2.151	240
2.035	245
1.801	250
1.811	255
2.045	260
2.099	265
2.071	270
1.885	275
1.752	280
1.67	285
1.599	290
1.505	295
1.325	300
1.289	305
1.235	310
1.156	315
1.116	320
1.036	325
1.011	330
1.027	335
1.033	340
1.024	345
0.981	350
0.938	355
0.817	360
0.675	365
0.695	370
0.755	375
0.68	380
0.639	385
0.601	390
0.533	395
0.615	400
0.61	405
0.568	410
0.549	415
0.463	420
0.32	425
0.267	430
0.297	435
0.282	440
0.21	445
0.141	450
0.139	455
0.158	460
0.179	465
0.262	470
0.352	475
0.379	480
0.267	485
0.219	490
0.361	495
0.534	500
0.649	505
0.705	510
0.734	515
0.758	520
0.774	525
0.723	530
0.742	535
0.861	540
0.943	545
1.157	550
1.342	555
1.486	560
1.548	565
1.592	570
1.649	575
1.753	580
1.908	585
2.077	590
2.146	595
2.199	600
2.267	605
2.308	610
2.356	615
2.43	620
2.44	625
2.405	630
2.391	635
2.383	640
2.372	645
2.336	650
2.282	655
2.206	660
2.169	665
2.16	670
2.098	675
1.875	680
1.668	685
1.528	690
1.433	695
1.324	700
1.337	705
1.33	710
1.269	715
1.217	720
1.2	725
1.158	730
1.111	735
1.026	740
1.027	745
1.018	750
1.0	755
0.975	760
0.937	765
0.933	770
0.973	775
1.007	780
1.008	785
0.995	790
0.979	795
0.968	800
0.963	805
0.964	810
0.954	815
0.783	820
0.586	825
0.521	830
0.607	835
0.754	840
0.885	845
1.003	850
1.138	855
1.147	860
1.129	865
1.029	870
0.943	875
0.678	880
0.487	885
0.504	890
0.654	895
0.713	900
