Abs	Wavelength
19.994	200
19.994	205
19.994	210
19.994	215
19.994	220
2.951	225
2.595	230
2.287	235
2.183	240
2.068	245
1.835	250
1.825	255
2.055	260
2.127	265
2.093	270
1.919	275
1.782	280
1.698	285
1.623	290
1.529	295
1.349	300
1.314	305
1.261	310
1.183	315
1.144	320
1.135	325
1.038	330
1.124	335
1.131	340
1.122	345
1.007	350
0.969	355
0.853	360
0.699	365
0.717	370
0.777	375
0.708	380
0.658	385
0.62	390
0.552	395
0.633	400
0.628	405
0.587	410
0.569	415
0.492	420
0.339	425
0.284	430
0.312	435
0.299	440
0.226	445
0.156	450
0.151	455
0.17	460
0.191	465
0.277	470
0.365	475
0.393	480
0.293	485
0.236	490
0.36	495
0.549	500
0.661	505
0.722	510
0.748	515
0.774	520
0.791	525
0.74	530
0.759	535
0.877	540
0.959	545
1.159	550
1.287	555
1.5	560
1.561	565
1.607	570
1.66	575
1.768	580
1.923	585
2.09	590
2.163	595
2.218	600
2.283	605
2.317	610
2.383	615
2.444	620
2.468	625
2.427	630
2.415	635
2.405	640
2.397	645
2.352	650
2.301	655
2.227	660
2.189	665
2.178	670
2.116	675
1.891	680
1.683	685
1.545	690
1.448	695
1.339	700
1.283	705
1.343	710
1.282	715
1.23	720
1.212	725
1.17	730
1.122	735
1.036	740
1.105	745
1.028	750
1.008	755
0.983	760
0.944	765
0.94	770
0.981	775
1.014	780
1.014	785
1.001	790
0.985	795
0.972	800
0.969	805
0.97	810
0.96	815
0.789	820
0.592	825
0.524	830
0.611	835
0.76	840
0.896	845
1.013	850
1.14	855
1.154	860
1.137	865
1.037	870
0.952	875
0.688	880
0.491	885
0.515	890
0.661	895
0.719	900
