Abs	Wavelength
2.555	200
2.574	205
2.412	210
2.147	215
1.74	220
1.351	225
0.903	230
0.622	235
0.601	240
0.603	245
0.485	250
0.491	255
0.641	260
0.664	265
0.649	270
0.601	275
0.518	280
0.47	285
0.422	290
0.387	295
0.31	300
0.319	305
0.399	310
0.431	315
0.461	320
0.493	325
0.484	330
0.511	335
0.537	340
0.56	345
0.562	350
0.582	355
0.55	360
0.489	365
0.59	370
0.752	375
0.788	380
0.839	385
0.903	390
0.934	395
1.175	400
1.266	405
1.305	410
1.284	415
1.337	420
1.239	425
1.219	430
1.264	435
1.251	440
1.172	445
1.006	450
0.958	455
0.908	460
0.855	465
0.866	470
0.868	475
0.801	480
0.594	485
0.453	490
0.487	495
0.571	500
0.598	505
0.58	510
0.545	515
0.508	520
0.468	525
0.364	530
0.336	535
0.403	540
0.428	545
0.511	550
0.645	555
0.78	560
0.781	565
0.761	570
0.755	575
0.801	580
0.887	585
0.926	590
0.93	595
0.927	600
0.941	605
0.943	610
0.986	615
1.122	620
1.142	625
1.124	630
1.135	635
1.159	640
1.183	645
1.186	650
1.164	655
1.129	660
1.12	665
1.152	670
1.139	675
0.989	680
0.873	685
0.82	690
0.801	695
0.772	700
0.783	705
0.847	710
0.848	715
0.847	720
0.876	725
0.873	730
0.856	735
0.869	740
0.893	745
0.904	750
0.904	755
0.894	760
0.869	765
0.873	770
0.922	775
0.963	780
0.969	785
0.962	790
0.95	795
0.941	800
0.941	805
0.944	810
0.936	815
0.766	820
0.572	825
0.505	830
0.592	835
0.741	840
0.879	845
0.996	850
1.122	855
1.137	860
1.12	865
1.019	870
0.936	875
0.671	880
0.475	885
0.503	890
0.646	895
0.705	900
