Abs	Wavelength
1.687	200
1.705	205
1.559	210
1.411	215
1.325	220
1.156	225
0.826	230
0.622	235
0.646	240
0.701	245
0.587	250
0.574	255
0.639	260
0.574	265
0.554	270
0.535	275
0.489	280
0.465	285
0.442	290
0.453	295
0.452	300
0.537	305
0.697	310
0.79	315
0.857	320
0.88	325
0.84	330
0.824	335
0.811	340
0.807	345
0.784	350
0.781	355
0.712	360
0.625	365
0.692	370
0.803	375
0.779	380
0.776	385
0.787	390
0.77	395
0.914	400
0.971	405
0.988	410
1.03	415
1.013	420
0.931	425
0.928	430
1.015	435
1.121	440
1.035	445
1.023	450
1.137	455
1.196	460
1.249	465
1.297	470
1.43	475
1.505	480
1.451	485
1.439	490
1.627	495
1.848	500
2.07	505
2.164	510
2.223	515
2.252	520
2.264	525
2.199	530
2.181	535
2.243	540
2.243	545
2.277	550
2.3	555
2.277	560
2.097	565
1.81	570
1.603	575
1.465	580
1.361	585
1.292	590
1.158	595
0.958	600
0.874	605
0.802	610
0.789	615
0.808	620
0.794	625
0.753	630
0.75	635
0.766	640
0.786	645
0.787	650
0.768	655
0.735	660
0.726	665
0.76	670
0.757	675
0.688	680
0.592	685
0.569	690
0.579	695
0.586	700
0.627	705
0.714	710
0.742	715
0.755	720
0.799	725
0.808	730
0.798	735
0.823	740
0.851	745
0.869	750
0.876	755
0.866	760
0.845	765
0.854	770
0.9	775
0.943	780
0.954	785
0.945	790
0.932	795
0.929	800
0.925	805
0.927	810
0.924	815
0.753	820
0.556	825
0.492	830
0.581	835
0.728	840
0.853	845
0.978	850
1.114	855
1.12	860
1.034	865
1.011	870
0.923	875
0.658	880
0.468	885
0.483	890
0.632	895
0.689	900
