Abs	Wavelength
0.926	200
0.926	205
1.651	210
1.436	215
1.348	220
1.18	225
0.849	230
0.639	235
0.659	240
0.713	245
0.604	250
0.578	255
0.648	260
0.588	265
0.562	270
0.548	275
0.5	280
0.478	285
0.453	290
0.463	295
0.464	300
0.548	305
0.708	310
0.803	315
0.865	320
0.893	325
0.852	330
0.832	335
0.818	340
0.813	345
0.791	350
0.789	355
0.728	360
0.631	365
0.695	370
0.808	375
0.787	380
0.78	385
0.791	390
0.775	395
0.913	400
0.975	405
0.995	410
1.107	415
1.026	420
0.94	425
0.937	430
1.02	435
1.132	440
1.118	445
1.104	450
1.147	455
1.205	460
1.255	465
1.304	470
1.433	475
1.507	480
1.456	485
1.436	490
1.599	495
1.834	500
2.049	505
2.148	510
2.202	515
2.241	520
2.252	525
2.183	530
2.166	535
2.241	540
2.234	545
2.275	550
2.308	555
2.293	560
2.123	565
1.844	570
1.648	575
1.499	580
1.391	585
1.334	590
1.182	595
0.977	600
0.889	605
0.817	610
0.799	615
0.816	620
0.8	625
0.758	630
0.752	635
0.769	640
0.789	645
0.79	650
0.772	655
0.737	660
0.73	665
0.762	670
0.76	675
0.692	680
0.599	685
0.569	690
0.583	695
0.588	700
0.626	705
0.72	710
0.741	715
0.759	720
0.8	725
0.811	730
0.801	735
0.824	740
0.856	745
0.871	750
0.88	755
0.868	760
0.848	765
0.855	770
0.903	775
0.948	780
0.957	785
0.945	790
0.939	795
0.929	800
0.925	805
0.935	810
0.925	815
0.759	820
0.568	825
0.5	830
0.581	835
0.733	840
0.87	845
0.981	850
1.113	855
1.132	860
1.034	865
1.008	870
0.931	875
0.656	880
0.456	885
0.484	890
0.635	895
0.69	900
