Abs	Wavelength
-0.107	200
-0.089	205
-0.113	210
-0.111	215
-0.104	220
-0.13	225
-0.314	230
-0.508	235
-0.489	240
-0.437	245
-0.525	250
-0.489	255
-0.327	260
-0.285	265
-0.243	270
-0.202	275
-0.208	280
-0.208	285
-0.235	290
-0.253	295
-0.306	300
-0.27	305
-0.154	310
-0.087	315
-0.024	320
0.025	325
0.027	330
0.06	335
0.086	340
0.105	345
0.1	350
0.11	355
0.054	360
-0.024	365
0.039	370
0.119	375
0.047	380
0.015	385
0.008	390
-0.021	395
0.174	400
0.19	405
0.17	410
0.174	415
0.116	420
-0.005	425
-0.038	430
0.017	435
0.025	440
-0.026	445
-0.083	450
-0.081	455
-0.061	460
-0.046	465
0.034	470
0.112	475
0.126	480
-0.002	485
-0.065	490
0.046	495
0.202	500
0.289	505
0.313	510
0.305	515
0.289	520
0.259	525
0.159	530
0.131	535
0.191	540
0.207	545
0.288	550
0.4	555
0.518	560
0.502	565
0.463	570
0.439	575
0.464	580
0.53	585
0.546	590
0.528	595
0.502	600
0.499	605
0.488	610
0.521	615
0.58	620
0.597	625
0.576	630
0.59	635
0.616	640
0.647	645
0.656	650
0.643	655
0.615	660
0.614	665
0.652	670
0.652	675
0.59	680
0.499	685
0.478	690
0.495	695
0.503	700
0.549	705
0.643	710
0.672	715
0.689	720
0.735	725
0.746	730
0.741	735
0.763	740
0.796	745
0.814	750
0.821	755
0.813	760
0.792	765
0.8	770
0.851	775
0.893	780
0.903	785
0.898	790
0.886	795
0.879	800
0.879	805
0.882	810
0.875	815
0.706	820
0.511	825
0.449	830
0.534	835
0.685	840
0.813	845
0.933	850
0.997	855
1.008	860
0.991	865
0.962	870
0.878	875
0.614	880
0.422	885
0.437	890
0.589	895
0.65	900
