Abs	Wavelength
0.65	200
0.65	205
0.65	210
-0.12	215
-0.11	220
-0.134	225
-0.316	230
-0.51	235
-0.491	240
-0.437	245
-0.522	250
-0.5	255
-0.337	260
-0.287	265
-0.249	270
-0.203	275
-0.211	280
-0.207	285
-0.235	290
-0.255	295
-0.307	300
-0.271	305
-0.156	310
-0.089	315
-0.03	320
0.022	325
0.024	330
0.059	335
0.084	340
0.104	345
0.099	350
0.11	355
0.061	360
-0.025	365
0.038	370
0.119	375
0.054	380
0.015	385
0.008	390
-0.022	395
0.172	400
0.192	405
0.171	410
0.174	415
0.124	420
-0.003	425
-0.037	430
0.014	435
0.025	440
-0.027	445
-0.084	450
-0.08	455
-0.062	460
-0.046	465
0.032	470
0.11	475
0.126	480
0.008	485
-0.065	490
0.04	495
0.201	500
0.285	505
0.313	510
0.306	515
0.289	520
0.259	525
0.159	530
0.129	535
0.19	540
0.207	545
0.28	550
0.4	555
0.52	560
0.503	565
0.463	570
0.439	575
0.463	580
0.529	585
0.546	590
0.528	595
0.503	600
0.499	605
0.488	610
0.52	615
0.579	620
0.596	625
0.576	630
0.587	635
0.617	640
0.647	645
0.656	650
0.642	655
0.615	660
0.612	665
0.651	670
0.652	675
0.59	680
0.499	685
0.477	690
0.495	695
0.503	700
0.547	705
0.642	710
0.671	715
0.689	720
0.735	725
0.746	730
0.739	735
0.764	740
0.794	745
0.814	750
0.819	755
0.814	760
0.792	765
0.8	770
0.851	775
0.893	780
0.902	785
0.898	790
0.886	795
0.879	800
0.878	805
0.882	810
0.875	815
0.707	820
0.511	825
0.446	830
0.533	835
0.683	840
0.82	845
0.937	850
0.996	855
1.007	860
0.991	865
0.963	870
0.878	875
0.616	880
0.418	885
0.444	890
0.588	895
0.649	900
