Abs	Wavelength
2.569	200
2.593	205
2.434	210
2.154	215
1.745	220
1.356	225
0.91	230
0.628	235
0.605	240
0.605	245
0.481	250
0.499	255
0.648	260
0.66	265
0.647	270
0.591	275
0.511	280
0.463	285
0.418	290
0.383	295
0.306	300
0.315	305
0.394	310
0.426	315
0.459	320
0.486	325
0.479	330
0.506	335
0.531	340
0.554	345
0.556	350
0.578	355
0.539	360
0.483	365
0.584	370
0.747	375
0.787	380
0.839	385
0.905	390
0.939	395
1.191	400
1.285	405
1.329	410
1.311	415
1.295	420
1.276	425
1.259	430
1.307	435
1.295	440
1.214	445
1.118	450
0.997	455
0.939	460
0.887	465
0.896	470
0.894	475
0.822	480
0.596	485
0.466	490
0.503	495
0.577	500
0.601	505
0.581	510
0.544	515
0.507	520
0.467	525
0.363	530
0.335	535
0.401	540
0.426	545
0.518	550
0.644	555
0.775	560
0.778	565
0.76	570
0.755	575
0.8	580
0.886	585
0.926	590
0.93	595
0.927	600
0.942	605
0.944	610
0.986	615
1.121	620
1.142	625
1.125	630
1.136	635
1.159	640
1.184	645
1.187	650
1.165	655
1.13	660
1.122	665
1.151	670
1.14	675
0.991	680
0.874	685
0.822	690
0.802	695
0.772	700
0.784	705
0.846	710
0.849	715
0.847	720
0.877	725
0.872	730
0.857	735
0.869	740
0.893	745
0.906	750
0.905	755
0.895	760
0.869	765
0.875	770
0.923	775
0.963	780
0.971	785
0.963	790
0.952	795
0.941	800
0.941	805
0.945	810
0.937	815
0.766	820
0.57	825
0.509	830
0.593	835
0.743	840
0.871	845
0.991	850
1.126	855
1.137	860
1.121	865
1.021	870
0.935	875
0.671	880
0.479	885
0.497	890
0.646	895
0.706	900
